===k = 2.000===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.000000m + vB(0.000000) * 2.000000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3333.333,6666.667,A,|vA(6666.666667) * 2.000000m + vB(0.000000) * 2.000000m + v(-3333.333333) * m = 10000.000000m
001-2, -2222.222,1111.111,6666.667,B,|vA(6666.666667) * 2.000000m + vB(-2222.222222) * 2.000000m + v(1111.111111) * m = 10000.000000m
===2===
===k = 2.001===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.001000m + vB(0.000000) * 2.001000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3335.555,6664.445,A,|vA(6664.445185) * 2.001000m + vB(0.000000) * 2.001000m + v(-3335.554815) * m = 10000.000000m
001-2, -2222.962,1112.593,6664.445,B,|vA(6664.445185) * 2.001000m + vB(-2222.962223) * 2.001000m + v(1112.592592) * m = 10000.000000m
===2===
===k = 2.002===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.002000m + vB(0.000000) * 2.002000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3337.775,6662.225,A,|vA(6662.225183) * 2.002000m + vB(0.000000) * 2.002000m + v(-3337.774817) * m = 10000.000000m
001-2, -2223.701,1114.074,6662.225,B,|vA(6662.225183) * 2.002000m + vB(-2223.700744) * 2.002000m + v(1114.074073) * m = 10000.000000m
===2===
===k = 2.003===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.003000m + vB(0.000000) * 2.003000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3339.993,6660.007,A,|vA(6660.006660) * 2.003000m + vB(0.000000) * 2.003000m + v(-3339.993340) * m = 10000.000000m
001-2, -2224.438,1115.556,6660.007,B,|vA(6660.006660) * 2.003000m + vB(-2224.437789) * 2.003000m + v(1115.555551) * m = 10000.000000m
===2===
===k = 2.004===
