===k = 4.237===
  N  , vB,v,vA,col,|p
000  , 0.000,100.000,0.000,-,|vA(0.000000) * 4.237000m + vB(0.000000) * 4.237000m + v(100.000000) * m = 100.000000m
001-1, 0.000,-61.810,38.190,A,|vA(38.189803) * 4.237000m + vB(0.000000) * 4.237000m + v(-61.810197) * m = 100.000000m
001-2, -23.605,38.205,38.190,B,|vA(38.189803) * 4.237000m + vB(-23.605193) * 4.237000m + v(38.205004) * m = 100.000000m
002-1, -23.605,38.180,38.196,A,|vA(38.195608) * 4.237000m + vB(-23.605193) * 4.237000m + v(38.180408) * m = 100.000000m
002-2, -0.009,-61.795,38.196,B,|vA(38.195608) * 4.237000m + vB(-0.009393) * 4.237000m + v(-61.794994) * m = 100.000000m
003-1, -0.009,100.000,0.009,A,|vA(0.009394) * 4.237000m + vB(-0.009393) * 4.237000m + v(99.999996) * m = 100.000000m
003-2, 38.184,-61.825,0.009,B,|vA(0.009394) * 4.237000m + vB(38.183996) * 4.237000m + v(-61.825394) * m = 100.000000m
004-1, 38.184,38.230,-23.605,A,|vA(-23.605190) * 4.237000m + vB(38.183996) * 4.237000m + v(38.229598) * m = 100.000000m
004-2, 38.201,38.156,-23.605,B,|vA(-23.605190) * 4.237000m + vB(38.201411) * 4.237000m + v(38.155809) * m = 100.000000m
005-1, 38.201,-61.780,-0.019,A,|vA(-0.018786) * 4.237000m + vB(38.201411) * 4.237000m + v(-61.779784) * m = 100.000000m
005-2, 0.019,100.000,-0.019,B,|vA(-0.018786) * 4.237000m + vB(0.018789) * 4.237000m + v(99.999985) * m = 100.000000m
006-1, 0.019,-61.841,38.178,A,|vA(38.178186) * 4.237000m + vB(0.018789) * 4.237000m + v(-61.840585) * m = 100.000000m
006-2, -23.605,38.254,38.178,B,|vA(38.178186) * 4.237000m + vB(-23.605184) * 4.237000m + v(38.254190) * m = 100.000000m
007-1, -23.605,38.131,38.207,A,|vA(38.207212) * 4.237000m + vB(-23.605184) * 4.237000m + v(38.131208) * m = 100.000000m
007-2, -0.028,-61.765,38.207,B,|vA(38.207212) * 4.237000m + vB(-0.028177) * 4.237000m + v(-61.764569) * m = 100.000000m
008-1, -0.028,100.000,0.028,A,|vA(0.028185) * 4.237000m + vB(-0.028177) * 4.237000m + v(99.999966) * m = 100.000000m
008-2, 38.172,-61.856,0.028,B,|vA(0.028185) * 4.237000m + vB(38.172374) * 4.237000m + v(-61.855770) * m = 100.000000m
009-1, 38.172,38.279,-23.605,A,|vA(-23.605175) * 4.237000m + vB(38.172374) * 4.237000m + v(38.278780) * m = 100.000000m
009-2, 38.213,38.107,-23.605,B,|vA(-23.605175) * 4.237000m + vB(38.213010) * 4.237000m + v(38.106604) * m = 100.000000m
010-1, 38.213,-61.749,-0.038,A,|vA(-0.037568) * 4.237000m + vB(38.213010) * 4.237000m + v(-61.749348) * m = 100.000000m
010-2, 0.038,100.000,-0.038,B,|vA(-0.037568) * 4.237000m + vB(0.037582) * 4.237000m + v(99.999940) * m = 100.000000m
011-1, 0.038,-61.871,38.167,A,|vA(38.166560) * 4.237000m + vB(0.037582) * 4.237000m + v(-61.870949) * m = 100.000000m
011-2, -23.605,38.303,38.167,B,|vA(38.166560) * 4.237000m + vB(-23.605164) * 4.237000m + v(38.303367) * m = 100.000000m
012-1, -23.605,38.082,38.219,A,|vA(38.218806) * 4.237000m + vB(-23.605164) * 4.237000m + v(38.081999) * m = 100.000000m
012-2, -0.047,-61.734,38.219,B,|vA(38.218806) * 4.237000m + vB(-0.046958) * 4.237000m + v(-61.734121) * m = 100.000000m
013-1, -0.047,100.000,0.047,A,|vA(0.046980) * 4.237000m + vB(-0.046958) * 4.237000m + v(99.999907) * m = 100.000000m
013-2, 38.161,-61.886,0.047,B,|vA(0.046980) * 4.237000m + vB(38.160743) * 4.237000m + v(-61.886122) * m = 100.000000m
014-1, 38.161,38.328,-23.605,A,|vA(-23.605150) * 4.237000m + vB(38.160743) * 4.237000m + v(38.327952) * m = 100.000000m
014-2, 38.225,38.057,-23.605,B,|vA(-23.605150) * 4.237000m + vB(38.224600) * 4.237000m + v(38.057391) * m = 100.000000m
015-1, 38.225,-61.719,-0.056,A,|vA(-0.056347) * 4.237000m + vB(38.224600) * 4.237000m + v(-61.718887) * m = 100.000000m
015-2, 0.056,100.000,-0.056,B,|vA(-0.056347) * 4.237000m + vB(0.056379) * 4.237000m + v(99.999865) * m = 100.000000m
016-1, 0.056,-61.901,38.155,A,|vA(38.154924) * 4.237000m + vB(0.056379) * 4.237000m + v(-61.901288) * m = 100.000000m
016-2, -23.605,38.353,38.155,B,|vA(38.154924) * 4.237000m + vB(-23.605133) * 4.237000m + v(38.352534) * m = 100.000000m
